D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
3278.4119261822384,4833.010262588397,3058.804219741274
3236.928918710468,4758.519111962505,3046.9923040619306
3196.1245325617647,4685.230299415185,3035.0991419898232
3155.987281967107,4613.127140056562,3023.126283975888
3116.5058823440163,4542.19309132193,3011.0752943357816
3077.6692468571096,4472.411756050861,2998.947750820862
3039.466483025756,4403.766885285983,2986.7452441840464
3001.886889378849,4336.242380805045,2974.4693777407433
2964.919952156662,4269.822297399346,2962.1217669250354
2928.555342059718,4204.490844911122,2949.7040388413034
2892.782911044578,4140.232390041997,2937.21783181148
2857.59268916641,4077.031457944137,2924.664794918126
2822.974881468169,4014.872733605279,2912.046587543516
2788.919864916207,3953.741063038385,2899.3648789049375
2755.418185382081,3893.6214542862326,2886.6213475863883
2722.460554670321,3834.499078250833,2873.8176810668792
2690.03784759188,3776.359269357187,2860.9555752455362
2658.1410990829927,3719.187526060477,2848.0367339637005
2626.76150136911,3662.969511205436,2835.0628685242345
2595.890401173593,3607.691052246265,2822.0356972082295
2565.5192969708164,3553.338141335113,2808.956944789323
2535.63983628331,3499.896935286806,2795.828342045831
2506.24381302257,3447.353755427176,2782.6516252708957
2477.3231648731344,3395.6950873320184,2769.428535780864
2448.869970719524,3344.907580463417,2756.160819422098
2420.8764481156245,3294.978047709863,2742.850226076426
2393.334950796092,3245.8934648363106,2729.4985091654485
2366.2379662293224,3197.640969850056,2716.107425153901
2339.5781132115567,3150.2078622880263,2702.678733052293
2313.3481395016543,3103.5816024308483,2689.214193919024
2287.5409194960744,3057.749810448779,2675.7155703621975
2262.149451943594,3012.7002654843777,2662.184626041336
2237.166857699289,2968.4209046765477,2648.623125169214
2212.5863775172907,2924.899822130356,2635.0328320140216
2188.4013698818458,2882.125267836844,2621.4155104020642
2164.6053088761737,2840.085646546808,2607.7729232212187
2141.191782088643,2798.7695166023555,2594.1068319253523
2118.154488555764,2758.165588729848,2580.418996039919
2095.487236741505,2718.2627247976448,2566.7111726689445
2073.183942552434,2679.049936541903,2552.9851160036114
2051.238627388179,2640.5163842635147,2539.2425768326557
2029.6454162267191,2602.6513754990906,2525.4853020547835
2008.3985357439992,2565.4443636687624,2511.715034193324
1987.492312467367,2528.884946703409,2497.9335109133217
1966.9211709623385,2492.962865653772,2484.142464541281
1946.679632052192,2457.6680032838008,2470.343621587769
1926.7623110698908,2422.990382650415,2456.538702273089
1907.1639161418484,2388.9201656717605,2442.729420056222
1887.879246503032,2355.447651685909,2428.9174811672533
1868.903190842924,2322.5632760018343,2415.104584143478
1850.2307256818472,2290.257608444384,2401.2924193693966
1831.8569137771728,2258.5213518948703,2387.4826686207966
1813.776902558928,2227.345340828785,2373.677004613127
1795.985922594322,2196.720539852061,2359.8770905543556
1778.4792860807213,2166.6380422372013,2346.084579702519
1761.252385366598,2137.0890684605138,2332.3011149281474
1744.3006914999844,2108.064964741596,2318.528328281769
1727.6197528039745,2079.5572015861453,2304.76784056668
1711.2051934788085,2051.5573723330813,2291.0212609171717
1695.0527122300878,2024.0571917069065,2277.2901863824013
1679.158080922673,1997.048494376148,2263.576201516096
1663.517143259813,1970.5232335186683,2249.8808779722667
1648.1258134870716,1944.473479394563,2236.205774107119
1632.98007512061,1918.891417927304,2222.552434587332
1618.0759796993975,1893.7693492937412,2208.9223900048873
1603.4096455609265,1869.0996865234988,2195.317156498616
1588.97725664,1844.8749541082773,2181.7382353826324
1574.7750612901948,1821.0877866215087,2168.187112781824
1560.7993711275708,1797.7309273487706,2154.6652592745572
1547.0465598962337,1774.7972269293166,2141.1741295427605
1533.5130623553448,1752.27964200906,2127.71516202954
1520.19537318719,1730.1712339052808,2114.2897786044773
1507.0900459259094,1708.4651672833115,2100.899384236764
1494.1936919065142,1687.1547088454186,2087.5453666763106
1481.5029792338048,1666.2332260320595,2074.229096142973
1469.0146317708216,1645.6941857356735,2060.9519250240355
1456.7254281464595,1625.531153027129,2047.7151875800762
1444.6322007818862,1605.7377898949333,2034.5201996593487
1432.731834935405,1586.3078539972798,2021.3682584207975
1421.021267765414,1567.2351974269886,2008.2606420658276
1409.497487411115,1548.513765489373,1995.1986095789425
1398.1575320906318,1530.1375954930538,1982.1834004773564
1386.9984892162056,1512.100815553708,1969.2162345696859
1376.0174945261356,1494.3976434107492,1956.298311723817
1365.211731233142,1477.0223852568931,1943.4308116440434
1354.578429188835,1459.9694345805688,1930.6148936575582
1344.114864063973,1443.2332710211151,1917.8516965103854
1333.818356544207,1426.8084592366947,1905.1423381728248
1323.686271541004,1410.689647784838,1892.4879156544796
1313.7160174174558,1394.8715680155406,1879.8895048289337
1303.9050452286783,1379.3490329768024,1867.3481602681336
1294.250847976518,1364.1169363325173,1854.8649150865297
1284.75095987828,1349.170251292592,1842.4407807950217
1275.402955649202,1334.5040295551844,1830.0767471647482
1266.2044497984054,1320.113400260938,1817.7737821007534
1257.1530959380525,1305.993568959086,1805.5328315255595
1248.2465861054488,1292.139816585301,1793.354819272663
1239.4826500978368,1278.5474984511534,1781.240646989972
1230.859054819624,1265.212043245049,1769.1911940531882
1222.373603641803,1252.12895204451,1757.2073174891386
