D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
2664.309399732312,2664.533938954651,2667.14871774601,2672.617270721686,2679.4638774226432,2686.443306065431,2692.9432040298107,2698.7668474099514,2703.910712113857,2708.4397872465147
2650.0969758478777,2650.333745133802,2652.983247620005,2658.480072452492,2665.336005488976,2672.308617503454,2678.7919515535527,2684.5943541382903,2689.715343731329,2694.221481264555
2635.944806361525,2636.193692903956,2638.877387206746,2644.401681599172,2651.266150088561,2658.2313107989617,2664.6976240597487,2670.4784755790893,2675.5763862200915,2680.0594559507563
2621.8532181257515,2622.11411015322,2624.8314704085697,2630.382443979048,2637.254672313327,2644.211762691417,2650.66061249089,2656.419614790845,2661.4942527031308,2665.9541327405686
2607.8225183150284,2608.09530507464,2610.8458113456786,2616.422685447362,2623.30191303081,2630.250329386016,2636.6812869347063,2642.418153671751,2647.469334865185,2651.9059113843637
2593.852995024321,2594.137566765069,2596.9207049566794,2602.522712501039,2609.408193492671,2616.3473471682187,2622.7599972454923,2628.474453588077,2633.5020035880348,2637.9151705892423
2579.944917850516,2580.2411658069304,2583.056427581998,2588.68281286527,2595.573815925951,2602.5031330009124,2608.8970736479337,2614.588855984901,2619.5926095679883,2623.9822686428774
2566.0985384572195,2566.406354833357,2569.253237530641,2574.903256063394,2581.79906410754,2588.717985104686,2595.0928273239133,2600.7616829796752,2605.7414839160424,2610.1075440198797
2552.314091123408,2552.633369077173,2555.5113756307774,2561.184293970544,2568.084203922336,2574.9921835216765,2581.347550982762,2586.99323793909,2591.948938741193,2596.2913159711584
2538.591793276368,2538.922426904169,2541.831065764585,2547.5261613515063,2554.42948390553,2561.32599066345,2567.6615194154124,2573.283806039697,2578.215267717357,2582.533885096744
2524.931846009384,2525.273730331106,2528.2125153878114,2533.92907638324,2540.835135769482,2547.7196518433507,2554.034990032899,2559.6336548127447,2564.540746634353,2568.8355339025247
2511.33443458459,2511.6874655288984,2514.655916034468,2520.39324116248,2527.3013749155884,2534.1733957937586,2540.4682033896383,2546.0430346736484,2550.9256339333792,2555.196527341337
2497.799728921412,2498.163803311369,2501.161443807091,2506.918842198847,2513.828400931591,2520.6874351686693,2526.9613836919148,2532.512179436533,2537.370171227421,2541.6171133388434
2484.3278840710072,2484.7028996100066,2487.7292598529616,2493.5060508938755,2500.416398074716,2507.2619670320105,2513.514739291976,2519.041306814256,2523.8745838069985,2528.097523304613
2470.9190406771027,2471.304895935103,2474.3595108266954,2480.155024006345,2487.0655357410465,2493.897173332093,2500.1284631681474,2505.6306189043125,2510.439081131661,2514.6379726288183
2457.573325423604,2457.9699198236767,2461.052329339578,2466.865904104317,2473.7759689215227,2480.5932213625865,2486.8027333913537,2492.2803026610222,2497.063857307633,2501.2386611649463
